ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11567388,JC116513,1/14/2019 13:00,036XX W ARGYLE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1712,17,39,14,08B,1151011,1932973,2019,1/23/2019 11:26,41.97197109,-87.72008936,"(41.971971087, -87.720089358)"
11567389,JC117650,1/14/2019 8:00,087XX S WABASH AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,632,6,9,44,7,1178236,1847161,2019,1/23/2019 11:26,41.73591887,-87.62259138,"(41.73591887, -87.622591377)"
11567390,JC117492,1/10/2019 12:00,030XX W ROOSEVELT RD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1134,11,28,29,7,1156424,1894559,2019,1/18/2019 9:37,41.86645197,-87.701226,"(41.866451967, -87.701226002)"
11567396,JC117662,1/15/2019 11:15,052XX W WASHINGTON BLVD,810,THEFT,OVER $500,STREET,FALSE,FALSE,1522,15,28,25,6,1141617,1900253,2019,1/23/2019 11:26,41.88236336,-87.75544383,"(41.882363356, -87.755443834)"
11567397,JC117702,1/14/2019 18:00,039XX N OAKLEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1921,19,47,5,14,1160332,1926089,2019,1/23/2019 11:26,41.95289284,-87.68600577,"(41.952892837, -87.686005769)"
11567399,JC117553,1/15/2019 10:20,030XX E 132ND ST,320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,433,4,10,55,3,1198522,1818036,2019,1/23/2019 11:26,41.65551331,-87.54924359,"(41.655513312, -87.54924359)"
11567401,JC117692,1/11/2019 12:00,024XX W PALMER ST,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,1431,14,1,22,6,1159799,1914696,2019,1/18/2019 9:37,41.92164075,-87.68828024,"(41.921640746, -87.688280242)"
11567403,JC117685,1/14/2019 15:00,081XX S YALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,FALSE,FALSE,622,6,21,44,14,1176032,1850967,2019,1/23/2019 11:26,41.74641268,-87.63055211,"(41.746412675, -87.630552113)"
11567404,JC117618,1/15/2019 10:50,040XX W LAKE ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,TRUE,FALSE,1114,11,28,26,18,1149369,1901457,2019,1/23/2019 11:26,41.88552049,-87.72694689,"(41.885520494, -87.726946887)"
11567406,JC117459,1/14/2019 17:30,031XX S CANAL ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,915,9,11,60,04A,1173801,1884216,2019,1/23/2019 11:26,41.83770116,-87.63774123,"(41.837701156, -87.637741232)"
